100	1.0000	1.1753	1.2120	1.3588	1.5205	1.9888	1.9945	2.0437	2.0730	2.0811	2.1062	2.1122	2.1276	2.1322	2.1334	2.1347	2.1377	2.1411	2.1430	2.1434	2.1436	2.1438	2.1439	2.1439	2.1441	2.1441	2.1443	2.1443	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444	2.1444
200	1.0000	1.4552	1.5863	2.0020	2.4339	3.5047	3.5388	3.8098	4.0088	4.1116	4.3660	4.4519	4.6622	4.7431	4.7731	4.8155	4.9092	5.0124	5.0919	5.1184	5.1421	5.1597	5.1753	5.1792	5.2004	5.2046	5.2233	5.2283	5.2505	5.2661	5.2710	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714	5.2714
298.15	1.0000	1.6308	1.8208	2.4313	3.0309	4.4858	4.5435	5.0154	5.3810	5.6171	6.1758	6.3813	6.8840	7.0917	7.1790	7.3132	7.6064	7.9329	8.2142	8.3171	8.4190	8.4992	8.5728	8.5930	8.7025	8.7253	8.8291	8.8550	8.9799	9.0706	9.1002	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036	9.1036
300	1.0000	1.6334	1.8243	2.4378	3.0400	4.5004	4.5585	5.0337	5.4020	5.6406	6.2049	6.4126	6.9210	7.1312	7.2196	7.3557	7.6531	7.9842	8.2703	8.3746	8.4790	8.5601	8.6352	8.6562	8.7681	8.7913	8.8972	8.9235	9.0511	9.1435	9.1742	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773	9.1773
500	1.0000	1.8296	2.0809	2.9337	3.7220	5.6221	5.7081	6.4473	7.0467	7.5130	8.5907	9.0082	10.0453	10.4945	10.7012	11.0467	11.7988	12.6422	13.4430	13.7493	14.0817	14.3523	14.6147	14.6909	15.1106	15.1985	15.6229	15.7205	16.2363	16.6174	16.7479	16.7672	16.7679	16.7679	16.7679	16.7679	16.7679	16.7685	16.7685	16.7692	16.7692	16.7692	16.7692	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699	16.7699
750	1.0000	1.9501	2.2359	3.2453	4.1491	6.3264	6.4295	7.3484	8.1127	8.7645	10.2584	10.8495	12.3335	12.9894	13.3025	13.8525	15.0448	16.3862	17.7219	18.2423	18.8310	19.3206	19.8046	19.9492	20.7588	20.9285	21.7712	21.9568	22.9907	23.7594	24.0292	24.0771	24.0771	24.0805	24.0805	24.0850	24.0873	24.0907	24.0976	24.1010	24.1033	24.1078	24.1101	24.1146	24.1158	24.1158	24.1169	24.1181	24.1181	24.1192	24.1203	24.1203	24.1215	24.1215	24.1226	24.1226	24.1226	24.1238	24.1249	24.1249	24.1249	24.1249	24.1260	24.1260
1000	1.0000	2.0159	2.3203	3.4180	4.3866	6.7203	6.8329	7.8564	8.7199	9.4902	11.2490	11.9517	13.7287	14.5201	14.9062	15.5986	17.0970	18.7853	20.5044	21.1802	21.9628	22.6177	23.2729	23.4728	24.5924	24.8285	26.0117	26.2683	27.7286	28.8186	29.2047	29.2796	29.2819	29.2933	29.2955	29.3092	29.3205	29.3364	29.3637	29.3750	29.3841	29.4068	29.4159	29.4386	29.4432	29.4432	29.4500	29.4545	29.4591	29.4613	29.4659	29.4681	29.4727	29.4772	29.4795	29.4795	29.4840	29.4886	29.4931	29.4977	29.4977	29.4999	29.4999	29.5022
1100	1.0000	2.0343	2.3437	3.4669	4.4541	6.8327	6.9481	8.0021	8.8947	9.7007	11.5395	12.2758	14.1423	14.9753	15.3836	16.1214	17.7158	19.5129	21.3527	22.0782	22.9236	23.6325	24.3442	24.5607	25.7855	26.0420	27.3398	27.6198	29.2224	30.4223	30.8485	30.9312	30.9354	30.9533	30.9547	30.9767	30.9905	31.0140	31.0554	31.0705	31.0871	31.1216	31.1340	31.1685	31.1726	31.1767	31.1850	31.1919	31.1988	31.2029	31.2112	31.2140	31.2222	31.2278	31.2305	31.2347	31.2402	31.2484	31.2553	31.2609	31.2636	31.2650	31.2678	31.2691
1150	1.0000	2.0424	2.3540	3.4884	4.4838	6.8824	6.9989	8.0663	8.9718	9.7941	11.6688	12.4200	14.3271	15.1789	15.5975	16.3545	17.9924	19.8390	21.7350	22.4833	23.3569	24.0902	24.8274	25.0522	26.3251	26.5919	27.9426	28.2336	29.9028	31.1525	31.5972	31.6857	31.6895	31.7103	31.7118	31.7379	31.7548	31.7824	31.8317	31.8491	31.8689	31.9095	31.9245	31.9665	31.9719	31.9757	31.9869	31.9946	32.0023	32.0081	32.0192	32.0221	32.0318	32.0386	32.0429	32.0468	32.0540	32.0637	32.0719	32.0806	32.0826	32.0845	32.0884	32.0913
1200	1.0000	2.0499	2.3636	3.5082	4.5112	6.9283	7.0459	8.1260	9.0437	9.8805	11.7886	12.5544	14.4990	15.3683	15.7963	16.5726	18.2517	20.1447	22.0920	22.8629	23.7620	24.5205	25.2811	25.5146	26.8312	27.1081	28.5094	28.8112	30.5432	31.8411	32.3041	32.3971	32.4012	32.4239	32.4260	32.4570	32.4777	32.5087	32.5666	32.5872	32.6100	32.6575	32.6761	32.7236	32.7319	32.7360	32.7484	32.7588	32.7670	32.7753	32.7877	32.7918	32.8042	32.8104	32.8166	32.8208	32.8311	32.8414	32.8518	32.8621	32.8642	32.8683	32.8724	32.8766
